sec004_var003_Diagnostic History|subchar004_003
RETIRED ENGINEER|Engineer
"RETIRED EX ARMY OFFICER 
"|Armed forces
RETIRED FRENCH TEACHER|College, university and higher education teaching professionals
RETIRED FROM CENTRAL GOVT|Senior government officials
RETIRED FROM TEACHING PROFESSION|Other teaching professionals not elsewhere classified
RETIRED GOVT OFFICER (AGRICULTURE)|Subsistence agricultural and fishery workers
RETIRED GOVT SERVICE|Senior government officials
RETIRED HEAD MASTER|Senior government officials
RETIRED HEAD MASTER, NCC OFFICER|Other teaching professionals not elsewhere classified
"RETIRED HEAD MASTER, NCC OFFICER

USG- CALCULI R -2 CALCULI AND L 2 CALCULI LARGEST -6MM
FATTY LIVER 
BPH"|Other teaching professionals not elsewhere classified
RETIRED HIGH SCHOOL TEACHER|College, university and higher education teaching professionals
RETIRED HR HEAD|Personnel and industrial relations department managers
RETIRED IT ENGINEER|Computing professionals not elsewhere classified
RETIRED -KIB EMPLOY|Business professionals not elsewhere classified
RETIRED KSRTC  VEHICLE BODY BUILDER.|Transport clerks
RETIRED MILITARY ENGINEER|Engineer
RETIRED OFFICER|General managers not elsewhere classified
RETIRED PANCHAYAT EXTENSION OFFICER|Senior government officials
RETIRED PERSON|Business professionals not elsewhere classified
RETIRED POLICE|Police officers
RETIRED PROFESSOR|College, university and higher education teaching professionals
RETIRED PROPERTY MANAGER|Estate agents
RETIRED RAILWAY OFFICER|General managers in transport, storage and communications
RETIRED SCHOOL TEACHER|College, university and higher education teaching professionals
RETIRED STA|Business professionals not elsewhere classified
RETIRED TEACHER|College, university and higher education teaching professionals
RETIRED, WAS CONTRACTOR - LONG STANDING|Business professionals not elsewhere classified
RETRIED INDUSTRIALIST|Directors and chief executives
RIDING TWO WHEELER 50KM DAILY|Business professionals not elsewhere classified
RT ENGINEER|Engineer
RT TEACHER|College, university and higher education teaching professionals
RTD|
RTD  HAL|Business professionals not elsewhere classified
RTD - LECTURER|College, university and higher education teaching professionals
RTD ENGINEER|Engineer
RTD FOREST OFFICER|General managers in agriculture, hunting, forestry and fishing
RTD FROM BEL|Business professionals not elsewhere classified
RTD MILITARY|Armed forces
RTD NURSE|Medical assistants
RTD PERSON|Business professionals not elsewhere classified
RTD PROFESSOR|College, university and higher education teaching professionals
RTD RAILWAY-MACHANICAL ENGINEER- WEARING HEAVY BOOTS (STEEL)|Engineer
RTD TEACHER|College, university and higher education teaching professionals
SALES|General managers in wholesale and retail trade
SALES AND MARKETTING|General managers in wholesale and retail trade
SALES AND SERVICE DEPARTMENT.|General managers in wholesale and retail trade
SALES EXECUTIVE- STRAINS THE WHOLE DAY SINCE 2 YRS|Technical and commercial sales representatives
SALES HEAD|General managers of business services
SALES MANAGER|General managers of business services
SALES- TRAVELING EVERYDAY 30KMS, |General managers of business services
SALESMAN|Technical and commercial sales representatives
SAREE MANUFACTURE|Handicraft workers in textile, leather and related materials
SCHOOL TEACHER|College, university and higher education teaching professionals
SCIENTIST|Research and development department managers
SCIENTIST IN ISRO|Research and development department managers
SEARCHING FOR JOB|
SECURITY|Protective services workers not elsewhere classified
SEDENTARY|Business professionals not elsewhere classified
SEDENTARY - IRREGULAR LIFESTYLE|Business professionals not elsewhere classified
SEDENTARY  LIFE STYLE|Business professionals not elsewhere classified
SEDENTARY & EXCESSIVE CAR DRIVING.|Business professionals not elsewhere classified
SEDENTARY AND MORE OF STRESS|Business professionals not elsewhere classified
SEDENTARY JOB|Business professionals not elsewhere classified
SEDENTARY KIND OF WORK.|Business professionals not elsewhere classified
SEDENTARY LIFE|Business professionals not elsewhere classified
SEDENTARY LIFE STYLE|Business professionals not elsewhere classified
"SEDENTARY LIFE STYLE 
NIGHT SHIFTS 

"|Business professionals not elsewhere classified
SEDENTARY LIFE STYLE (NIGHT SHIFT)|Business professionals not elsewhere classified
SEDENTARY LIFESTYLE|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30
"|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30

7/4/17
FBS-116
PPBS-210
HBA1C - 7(172)
SR.CREAT - 0.8
T.CHOL - 124
TG - 176

VIT B12- 167"|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30

7/4/17
FBS-116
PPBS-210
HBA1C - 7(172)
SR.CREAT - 0.8
T.CHOL - 124
TG - 176

VIT B12- 167
05/05/17
FBS- 87 MG/DL
PPBS- 140
"|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30

7/4/17
FBS-116
PPBS-210
HBA1C - 7(172)
SR.CREAT - 0.8
T.CHOL - 124
TG - 176
VIT B12- 167

05/05/17
FBS- 87 
PPBS- 140

4/6/17 - DURING CELLULITIS 
RBS - 245
SR.URIC ACID - 4.9

16/6/17
FBS -118
PPBS -130
SR.CREAT- 0.8
"|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30

7/4/17
FBS-116
PPBS-210
HBA1C - 7(172)
SR.CREAT - 0.8
T.CHOL - 124
TG - 176
VIT B12- 167

05/05/17
FBS- 87 
PPBS- 140

4/6/17 - DURING CELLULITIS 
RBS - 245
SR.URIC ACID - 4.9

16/6/17
FBS -118
PPBS -130
SR.CREAT- 0.8

25/7/17

FBS - 113
PPBS - 192
HBA1C - 6.5(154)
SR.CREAT - 0.8
TOT CHOL - 122
TG - 141

HB- 14.5GM%"|Business professionals not elsewhere classified
"SEDENTARY LIFESTYLE 

4/11/15 FBS - 155 PPBS - 196 

31/3/16 
FBS - 145
PPBS - 184 
TG - 165 
HDL - 39 
HBA1C- 7.5(190) 

6/3/17
FBS-119
PPBS-122
HBA1C-7.8 (200)
S. CREAT- 0.9
T. CHOL- 125
TRI G- 201
HDL-30

7/4/17
FBS-116
PPBS-210
HBA1C - 7(172)
SR.CREAT - 0.8
T.CHOL - 124
TG - 176
VIT B12- 167

05/05/17
FBS- 87 
PPBS- 140

4/6/17 - DURING CELLULITIS 
RBS - 245
SR.URIC ACID - 4.9

16/6/17
FBS -118
PPBS -130
SR.CREAT- 0.8

25/7/17

FBS - 113
PPBS - 192
HBA1C - 6.5(154)
SR.CREAT - 0.8
TOT CHOL - 122
TG - 141

HB- 14.5GM%


15-9-17:
FBS: 100
PPBS: 130
"|Business professionals not elsewhere classified
SEDENTARY WITH LOT OF STRESS .|Business professionals not elsewhere classified
SEDENTARY WORK (NIGHT SHIFT)|Business professionals not elsewhere classified
SEDENTARY WORK, INCLUDES MENTAL STRENGTH.|Business professionals not elsewhere classified
SEDENTORY|Business professionals not elsewhere classified
SEDENTORY JOB|Business professionals not elsewhere classified
SELF EMPLOY|Business professionals not elsewhere classified
SELF EMPLOYED|Business professionals not elsewhere classified
SELF EMPLOYED- TAILORING|Tailors, dressmakers and hatters
SELF EMPLOYED.|Business professionals not elsewhere classified
SELF EMPLOYEE|Business professionals not elsewhere classified
SENIOR RESEARCH FELLOW|Research and development department managers
SERVICE|Business professionals not elsewhere classified
SERVICE - EMPLOYED|Business professionals not elsewhere classified
SERVICE MANAGER|General managers of business services
SHOP KEEPER|Street vendors, non-food products
SHOP KEEPER - SEDENTARY LIFE STYLE|Street vendors, non-food products
SHOPKEEPER|Street vendors, non-food products
SILICA MINING  - WORKED FOR 38 YRS TILL 1998|
SITS ON THE GROUND FOR MORE THAN 6 HOURS AND USES HANDS TO SEPARATE CASHEWS.|
SITTING = LONG TIME|
SMALL SCALE INDUSTRY|Business professionals not elsewhere classified
SOCIAL ACTIVIST|
SOCIAL SERVICE|
SOCIAL WORKER|
SOCIAL WORKER , FIELD AREA AND LIVE IN THE FOREST AREA|
SOCIETY|
SOFT SKILLS TRAINER|
SOFT WARE ENG, TRAVELLING JOB|Computing professionals not elsewhere classified
SOFT WARE ENGINEER|Computing professionals not elsewhere classified
SOFTWARE|Computing professionals not elsewhere classified
SOFTWARE CONSULTANT|Computing professionals not elsewhere classified
SOFTWARE DEVELOPMENT MANAGER|Computing professionals not elsewhere classified
SOFTWARE ENFGINEER|Computing professionals not elsewhere classified
SOFTWARE ENGINEER|Computing professionals not elsewhere classified
SOFTWARE JOB|Computing professionals not elsewhere classified
SOFTWARE PROFESSIONAL|Computing professionals not elsewhere classified
SOFTWARE- SEDENTARY WORK.|Computing professionals not elsewhere classified
SOFTWEAR,FINACE ACCOUNTS AND ADMN,TRAVESLS (STRESSS _PHYSICAL AND PSYCHOLOGICAL40KM /DAY 0N TWO WHEELER.|Computing professionals not elsewhere classified
SOLDIER IN INDIAN AIR FORCE|Armed forces
SPORTS PLAYER AND FACTORY: HARD WORK. NOW RETIRED.|Athletes, sportspersons and related associate professionals
STAFF NURSE|Medical assistants
"STANDING WORK 6-7 HOURS PER DAY - RUNS A HOTEL, 
"|Business professionals not elsewhere classified
STENOGRAPHER|Stenographers and typists
STITCHER.|
STOPPED GYM WORK OUTS SINCE 2 YEARS, ONLY OFFICIAL WORKS ARE CARRIED OUT.|
STORE IN CHARGE.|General managers of business services
STORES INCHARGE|General managers of business services
STRESS|Business professionals not elsewhere classified
STRESS - TENSION LIFE|Business professionals not elsewhere classified
STRESS AT WORK|Business professionals not elsewhere classified
STRESS DUE TO WORK PRESSURE|Business professionals not elsewhere classified
STRESS FULL|Business professionals not elsewhere classified
STRESS IN WORK|Business professionals not elsewhere classified
STRESSED|Business professionals not elsewhere classified
STRESSED AT WORK|Business professionals not elsewhere classified
STRESSFUL|Business professionals not elsewhere classified
STRESSFUL , PHYSICAL AND MENTAL |Business professionals not elsewhere classified
STRESSFUL JOB|Business professionals not elsewhere classified
STRESSFUL JOB.|Business professionals not elsewhere classified
STRESSFULL AND TENSIONS|Business professionals not elsewhere classified
STRESSFULL LIFE|Business professionals not elsewhere classified
STUDENT|Student
STUDENT, WORK IN CONSULTING CENTER |Student
STUDENTS|Student
"STUDIES - MUMBAI
BANGALORE - SINCE 5 YRS"|Student
STUDYING|Student
SUPERVISOR|General managers of business services
SUPERVISOR IN GARMENTS|General managers of business services
SUPPORT WORKER_DEALS WITH PEOPLE WITH INTELLECTUAL DISABILITY|Business professionals not elsewhere classified
SYSTEM ADMINISTRATOR|Administrative secretaries and related associate professionals
TAFE WORKER?(STANDS FOR 8 HRS /DAY-25YRS|Business professionals not elsewhere classified
TAILOR|Tailors, dressmakers and hatters
TAILOR (STOPPED SINCE 2 MONTHS)|Tailors, dressmakers and hatters
"TAILOR BY PROFESSION 25 YEARS AGO. 
HE IS A FARMER NOW, AND LIFTS AROUND 10-15 KGS WT DAILY 15 YEARS AGO. "|Tailors, dressmakers and hatters
TAILORING|Tailors, dressmakers and hatters
TAILORING 10YRS, STOPPED NOW|Tailors, dressmakers and hatters
TAKES CARE OF GOAT FARM .|Personal care and related workers not elsewhere classified
TEACHER|College, university and higher education teaching professionals
TEACHER-|College, university and higher education teaching professionals
TEACHER - RETIRED|College, university and higher education teaching professionals
TEACHER (PART TIME)|College, university and higher education teaching professionals
TEACHER (RETIRED)|College, university and higher education teaching professionals
TEACHER , RUNNING A HOME FOR MENTALLY HANDICAPPED |College, university and higher education teaching professionals
"TEACHER BY PROFESSION. 
STANDS FOR AROUND 5 HOURS IN A DAY"|College, university and higher education teaching professionals
TEACHER IN A PRIVATE SCHOOL|College, university and higher education teaching professionals
TEACHER- RETIRED 10 YRS BACK|College, university and higher education teaching professionals
TEACHER(RETIRED)|College, university and higher education teaching professionals
TEACHER, |College, university and higher education teaching professionals
TEACHER, DRIVING TWO WHEELER|College, university and higher education teaching professionals
TEACHER-30 YRS|College, university and higher education teaching professionals
TEACHING|College, university and higher education teaching professionals
TENNIS COACH|Athletes, sportspersons and related associate professionals
TEXTILE BUSINESS|Handicraft workers in textile, leather and related materials
TEXTILES.|Handicraft workers in textile, leather and related materials
TOBACCO FACTORY|Tobacco preparers and tobacco products makers
TRACTOR DRIVER|Driver
TRADER|Business professionals not elsewhere classified
TRADEUNIONIST|Business professionals not elsewhere classified
TRAINER|Athletes, sportspersons and related associate professionals
TRAINING CENTER -PHYSICAL TRAINING|Athletes, sportspersons and related associate professionals
TRANSPORT BUSINESS|General managers in transport, storage and communications
TRAVEELING AND FIELD WORK|Business professionals not elsewhere classified
TRAVEELING AND STRESSFUL JOB|Business professionals not elsewhere classified
TRAVEL AND BUISNESS|Business professionals not elsewhere classified
TRAVEL RELATED JOB|Business professionals not elsewhere classified
TRAVELING AND STRESSFUL JOB|Business professionals not elsewhere classified
TRAVELING JOB|Business professionals not elsewhere classified
TRAVELING MOST OFTEN DUE TO BUSINESS.|Business professionals not elsewhere classified
TRAVELLING|Business professionals not elsewhere classified
TRAVELLING 5HRS UP & DOWN|Business professionals not elsewhere classified
TRAVELLING WHOLE DAY  ON TRACTOR FOR 12 - 14 HRS/ DAY FOR 20 YRS STOPPED 3 YRS BACK AFTER THAT STARTED WITH KNEE PAIN|Business professionals not elsewhere classified
TRAVELS A LOT|Business professionals not elsewhere classified
TRAVELS A LOT OVER SEAS: AS HE IS A CAPTAIN OF SHIP|Ships' deck officers and pilots
TRAVELS A LOT. ERRATIC LIFESTYLE.|Business professionals not elsewhere classified
TRAVELS IN A SEDAN CAR FOR ABOUT 100-200 KMS/DAY|Business professionals not elsewhere classified
TRUCK DRIVER|Driver
TURNER|Electrical mechanics and fitters
TV TECHNICIAN|
TWO WHEELER DRIVING 70KM / DAY|
TWO WHEELER RIDING|
TWO WHEELER RIDING,|
TYPING|Stenographers and typists
TYPIST|Stenographers and typists
USE TO LIFT HEAVY OBJECTS|Engineer
USE TO RIDE BIKE FOR LONG HOURS - 50 KM / DAY|Domestic helpers and cleaners
USE TO RIDE FOR MORE THAN 60-70KM|
USED TO LIFT HEAVY WEIGHT|
USED TO RIDE TWO WHEELERS|
USED TO TRAVEL 800KM ONCE IN A MONTH, WEIGHT LIFTING ABOUT 50KG ONCE OR TWICE IN A MONTH, CLIMBING STAIRS FREQUENTLY|
VERY STRAINOUS HOUSE HOLD WORK FOR MANY YERAS.|
VETERARY PHYSICIAN, USED TO RIDE TWO WHELEER|Veterinarians
VETERINARIAN|Veterinarians
VETERNARY DOCTOR|Veterinarians
VETERNARY OFFICER-LOT OF TRAVELLING AND FIELD WORK|Veterinarians
VETINARY DOCTOR|Veterinarians
VICE PRESIDENT OF PHARMACY COMPANY|
WAS A MARKETING PROFESSIONAL AND NOW SINCE 6 MONTHS PLANNING TO HAVE HER OWN WORK|Business professionals not elsewhere classified
WAS ELECTRICAL LINE MAN|Electrical mechanics and fitters
WAS SOFTWARE ENGINEER , IN US, |Computing professionals not elsewhere classified
WAS TEACHER|College, university and higher education teaching professionals
WAS TYPIST SINCE 13 YRS|Stenographers and typists
WAS WORKING IN TEA ESTATE|Subsistence agricultural and fishery workers
WASHER MAN|Domestic helpers and cleaners
WATCH COMPANY|Business professionals not elsewhere classified
WATCHMAN|Doorkeepers, watchpersons and related workers
WATCHMAN DUTY AT ICR?|Doorkeepers, watchpersons and related workers
WATER SUPPLY|Domestic helpers and cleaners
WEAVER|Weavers, knitters and related workers
WELDER|Welders and flamecutters
WELDING|Welders and flamecutters
WELDING SHOP|Welders and flamecutters
WHOLESALE PULSES|Business professionals not elsewhere classified
WORK AS SUPERVISER|Administrative secretaries and related associate professionals
WORK FROM HOME -SEDENTARY WORK (COMPUTER)|Computing professionals not elsewhere classified
WORK IN GARMENT INDUSTRY|Textile, leather and related pattern-makers and cutters
WORKED AS A TEACHER FROM 2008 AND HENCE STANDING FOR LONG TIME- PAIN IN KNEE JOINT AND STRESS IS HIGH.|College, university and higher education teaching professionals
WORKED AS SERVICE ENGINEER USE TO LIFT WEIGHTS AND HEAVY WORK|Engineer
WORKER|Business professionals not elsewhere classified
WORKER IN BHEL|Business professionals not elsewhere classified
WORKER IN COMPANY|Business professionals not elsewhere classified
WORKER IN TEA ESTATE|Subsistence agricultural and fishery workers
WORKING|Business professionals not elsewhere classified
WORKING - PHYSICAL STRAIN|Business professionals not elsewhere classified
WORKING A HEADMASTER|Other teaching professionals not elsewhere classified
WORKING FOR BMRCL|Business professionals not elsewhere classified
WORKING IN FOREST DEPARTMENT|Subsistence agricultural and fishery workers
WORKING IN HAL|Business professionals not elsewhere classified
WORKING IN MARKETING WORK|General managers of business services
WORKING ON COMPUTER ON LYING ON ELBOW, BELLY|Computing professionals not elsewhere classified
WORKING ON COMPUTERS|Computing professionals not elsewhere classified
WORKING- TRAVEL FOR 1-2 HRS DAILY|Business professionals not elsewhere classified
"WORKS AS ADMINISTRATIVE OFFICER IN RTO, ANDRA PRADESH
MINIMUM OF 200 SIGNATURES PER DAY, MUCH OF WRITING ACTIVITY, "|Administrative secretaries and related associate professionals
WORKS FOR A US FIRM : WORK FROM HOME- FROM 6.30 PM TO 3.00 AM.|Business professionals not elsewhere classified
WORKS IN NIGHT SHIFT|Business professionals not elsewhere classified
WORKS ON NIGHT SHIFT|Business professionals not elsewhere classified
WORKS ON POWER LOOM|Business professionals not elsewhere classified
WORKS WITH COMPUTER 8-9 HRS/DAY|Computing professionals not elsewhere classified
WRITER|Authors, journalists and other writers
YOGA INSTRUCTOR|Athletes, sportspersons and related associate professionals
YOGA TEACHER|Athletes, sportspersons and related associate professionals
YOGA TEACHER & HOUSE WIFE|Athletes, sportspersons and related associate professionals
YOGA THERAPIST|Athletes, sportspersons and related associate professionals
ZUMBA INSTRUCTOR|Athletes, sportspersons and related associate professionals
