all_diag,dname
CONTACT ECZEEMA(CD),sec011_var001_Allopathic Diagnosis
PHLEBITIS,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLOSIS.,sec011_var001_Allopathic Diagnosis
LOW BACK PAIN- LUMBAR SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
TYPE 1 DM,sec011_var001_Allopathic Diagnosis
PERIPHERAL DIABETIC NEUROPATHY,sec011_var001_Allopathic Diagnosis
VARICOSE VEINS BOTH LEGS,sec011_var001_Allopathic Diagnosis
DM WITH PERPHERAL NEUROPATHY,sec011_var001_Allopathic Diagnosis
L PLU EFFUSION,sec011_var001_Allopathic Diagnosis
DIABETIC MACULAR EDEMA POST CATARACT REMOVAL STATUS  OS,sec011_var001_Allopathic Diagnosis
DM WITH PERIPHERAL NEUROPATHY,sec011_var001_Allopathic Diagnosis
SENSORY ATAXIA.,sec011_var001_Allopathic Diagnosis
SENSORY ATAXIA,sec011_var001_Allopathic Diagnosis
BURSITIS - SUPRAPATELLAR,sec011_var001_Allopathic Diagnosis
STRAIN ON TENSOR FASCIA LATA,sec011_var001_Allopathic Diagnosis
LATERAL COLLATERAL LIGAMENT TEAR,sec011_var001_Allopathic Diagnosis
MED COL LIG STRAIN-RECOVERY,sec011_var001_Allopathic Diagnosis
HAEMANGIOMA -CAPILLARY,sec011_var001_Allopathic Diagnosis
DISC PROLAPSE IN L3-L5,sec011_var001_Allopathic Diagnosis
CH PANCREATITIS,sec011_var001_Allopathic Diagnosis
OA WITH MED COL LIG INJURY,sec011_var001_Allopathic Diagnosis
LUMBAR RADICULOPATHY,sec011_var001_Allopathic Diagnosis
LUMBAR SPONDYLOLISTHESIS (ANTERIOLISTHESIS OF L5 ON S1),sec011_var001_Allopathic Diagnosis
ANTERIO LISTHESIS OF L5-ON S1,sec011_var001_Allopathic Diagnosis
CERVICAL RADICULOPATHY,sec011_var001_Allopathic Diagnosis
C SPOND.,sec011_var001_Allopathic Diagnosis
CRADICULOPATHY.,sec011_var001_Allopathic Diagnosis
CHOLESCYSTITIS,sec011_var001_Allopathic Diagnosis
CHOLECYSTITIS,sec011_var001_Allopathic Diagnosis
BORDERLINE HYPERCHOLESTREAMIA,sec011_var001_Allopathic Diagnosis
GB CALCULI.,sec011_var001_Allopathic Diagnosis
OF THE RIGHT SHOULDER JOINT,sec011_var001_Allopathic Diagnosis
R OAIT BURSITIS,sec011_var001_Allopathic Diagnosis
TRAPIZIUS MUSCLE SPASM,sec011_var001_Allopathic Diagnosis
PERIPHERAL NUEROPATHY,sec011_var001_Allopathic Diagnosis
ACCIDENTAL INJURY,sec011_var001_Allopathic Diagnosis
PUL EDEMA.,sec011_var001_Allopathic Diagnosis
URINE INCONTINANCE,sec011_var001_Allopathic Diagnosis
PERINIAL ABSCESS,sec011_var001_Allopathic Diagnosis
CHONDR/OSTEOMALACIA/AUTOIMMUNE DISEASE,sec011_var001_Allopathic Diagnosis
NON SPECIFIC PATELLAR PAIN.,sec011_var001_Allopathic Diagnosis
NON SPECIFIC PATELLAR PAIN,sec011_var001_Allopathic Diagnosis
EOSPHAGEAL CANDIDIASIS +GERD+ ADENOMATOUS HYPERPLASIA !,sec011_var001_Allopathic Diagnosis
CALCANEAL SPUR RT,sec011_var001_Allopathic Diagnosis
ANTRAL EROSION,sec011_var001_Allopathic Diagnosis
REFLUX OESOPHAGITIS,sec011_var001_Allopathic Diagnosis
KELOID,sec011_var001_Allopathic Diagnosis
P.NEUROPATHY-DM,sec011_var001_Allopathic Diagnosis
OBES,sec011_var001_Allopathic Diagnosis
CARPEL TUNNEL SYNDROME/ENTRAPMENT SYNDROME.,sec011_var001_Allopathic Diagnosis
LBA.OA,sec011_var001_Allopathic Diagnosis
BACK PAIN( PHYSICAL STRAIN RELATED),sec011_var001_Allopathic Diagnosis
CRPS,sec011_var001_Allopathic Diagnosis
CRPS STAGE -1,sec011_var001_Allopathic Diagnosis
OA WITH OSTEOPROSIS,sec011_var001_Allopathic Diagnosis
CHOLIATHASIS,sec011_var001_Allopathic Diagnosis
OA (KNEE),sec011_var001_Allopathic Diagnosis
METABOLIC SYNDROME,sec011_var001_Allopathic Diagnosis
ENDOMETRIOSIS,sec011_var001_Allopathic Diagnosis
OSTEOARTHRITIS (KNEES),sec011_var001_Allopathic Diagnosis
AVASCULAR NECROSIS OF HEADS OF THE FEMUR,sec011_var001_Allopathic Diagnosis
CONTUSION INJURY - RIGHT HIP,sec011_var001_Allopathic Diagnosis
KYPHOSCO,sec011_var001_Allopathic Diagnosis
IOSIS,sec011_var001_Allopathic Diagnosis
SUPRASPINATUS INJURY,sec011_var001_Allopathic Diagnosis
DYSLIPIDAEMIA,sec011_var001_Allopathic Diagnosis
PANCREATITIS,sec011_var001_Allopathic Diagnosis
BAKERS DYSTROPHY(LATE DUCHENE MD),sec011_var001_Allopathic Diagnosis
BAKERS'DYSTROPHY/DUCHNE,sec011_var001_Allopathic Diagnosis
' MD,sec011_var001_Allopathic Diagnosis
DISC PROLAPSE (SLIPPED DISC),sec011_var001_Allopathic Diagnosis
OSTEPPOSRSIS.,sec011_var001_Allopathic Diagnosis
PAPILLARY PHARYNGITIS,sec011_var001_Allopathic Diagnosis
GALL BLADDER STONES,sec011_var001_Allopathic Diagnosis
L5-S1,sec011_var001_Allopathic Diagnosis
PATIENT DIAGNOSED WITH  VASCULITIS NEUROPATHY,sec011_var001_Allopathic Diagnosis
VASCULITIS MYOSITIS -QUADRIPARASIS -IMPROVING,sec011_var001_Allopathic Diagnosis
MULTIPLE CEREBRAL INFARCTS -POSSIBLE VASCULITIC ETIOLOGY,sec011_var001_Allopathic Diagnosis
SEIZURE,sec011_var001_Allopathic Diagnosis
ANCA POSITIVITY -MYELOPEROXIDASE POSITIVE,sec011_var001_Allopathic Diagnosis
ISCHAEMIC HEART DISEASE,sec011_var001_Allopathic Diagnosis
OSTEOARTHRITIS IN BOTH KNEE,sec011_var001_Allopathic Diagnosis
URINARY TRACT INFECTION,sec011_var001_Allopathic Diagnosis
POST HERPETIC NEUROLGIA,sec011_var001_Allopathic Diagnosis
HORMONAL IMBALANCE,sec011_var001_Allopathic Diagnosis
NEURO CONDITION FOR EVALUATION,sec011_var001_Allopathic Diagnosis
CEREBELLAR ATROPPHY,sec011_var001_Allopathic Diagnosis
GOUTY ARTHIRITS,sec011_var001_Allopathic Diagnosis
CABG,sec011_var001_Allopathic Diagnosis
NOW- CAROTID BLOCK 70-80% STENOSIS,sec011_var001_Allopathic Diagnosis
GOUTY ARTHRITIS .,sec011_var001_Allopathic Diagnosis
INJURY TO MINICI RIGHT LEG,sec011_var001_Allopathic Diagnosis
LRTI WITH CONSOLIDATION-MIDDLE ZONE OF LEFT LUNG.,sec011_var001_Allopathic Diagnosis
MILD CATARACT,sec011_var001_Allopathic Diagnosis
ATOPIC ECZEMA,sec011_var001_Allopathic Diagnosis
VULVITIS,sec011_var001_Allopathic Diagnosis
PARKISONISM,sec011_var001_Allopathic Diagnosis
PARKINSON,sec011_var001_Allopathic Diagnosis
OA -ADVANCED WITH BURSITIS,sec011_var001_Allopathic Diagnosis
SPONDYLOLYSTHESIS,sec011_var001_Allopathic Diagnosis
OSTEAPOSROSIS.,sec011_var001_Allopathic Diagnosis
SLE ON STEROID 14 YRS,sec011_var001_Allopathic Diagnosis
CH UTI,sec011_var001_Allopathic Diagnosis
ON EMPHERICAL TREATMENT FOR KOCH,sec011_var001_Allopathic Diagnosis
ANEMIA.,sec011_var001_Allopathic Diagnosis
ERYSEPELIS,sec011_var001_Allopathic Diagnosis
SLE ON TAPERING STEROID (14 YRS),sec011_var001_Allopathic Diagnosis
EMPHERICAL TREATMENT FOR KOCHS FOR 2 MONTHS,sec011_var001_Allopathic Diagnosis
CH UIT(NOW RESOLVED),sec011_var001_Allopathic Diagnosis
ADVANCED OAWITH JENU VARUS,sec011_var001_Allopathic Diagnosis
CEREBELLAR DEGENERATION.,sec011_var001_Allopathic Diagnosis
CONGENATAL /DEVELOPMENTAL HIP DYPLASIA .,sec011_var001_Allopathic Diagnosis
OSTEOPROSIS,sec011_var001_Allopathic Diagnosis
RENAL PARANCHYMAL DISEASE.LUMBAR STENOSIS,sec011_var001_Allopathic Diagnosis
POLYA ARTHRITIS,sec011_var001_Allopathic Diagnosis
POST POLIO PARAPARESIS,sec011_var001_Allopathic Diagnosis
CIRRHOSIS OF LIVER,sec011_var001_Allopathic Diagnosis
HANSEN'S DISEASE.,sec011_var001_Allopathic Diagnosis
BORDERLINE LEPROMATOUS LEPROSY,sec011_var001_Allopathic Diagnosis
ACUTE LBA,sec011_var001_Allopathic Diagnosis
RADICULOPATHY (LUMBAR),sec011_var001_Allopathic Diagnosis
RADICULOPATHY(LUMBAR),sec011_var001_Allopathic Diagnosis
C.SPONDOLOSIS,sec011_var001_Allopathic Diagnosis
HEPATOMA,sec011_var001_Allopathic Diagnosis
BRONCIAL ASTHMA.COPD,sec011_var001_Allopathic Diagnosis
SPODYLOLISTHESIS L5-S1 WITH SCIATICA,sec011_var001_Allopathic Diagnosis
ISCHAEMIC ULCER,sec011_var001_Allopathic Diagnosis
OA  WITH OSTEOPENIA.,sec011_var001_Allopathic Diagnosis
PILES,sec011_var001_Allopathic Diagnosis
CSOM WITH VERTIGO,sec011_var001_Allopathic Diagnosis
NON SPECIFIC VERTIGO,sec011_var001_Allopathic Diagnosis
GB DISEASE.,sec011_var001_Allopathic Diagnosis
PAST -RENAL CALCULI,sec011_var001_Allopathic Diagnosis
FOLLICULAR TONSILITIS,sec011_var001_Allopathic Diagnosis
SINUSITIS CH,sec011_var001_Allopathic Diagnosis
OA WITH OBESITY,sec011_var001_Allopathic Diagnosis
MYALGIA-NON SPECIFIC,sec011_var001_Allopathic Diagnosis
KNEE INJURY,sec011_var001_Allopathic Diagnosis
LBA WITH ANEMIA,sec011_var001_Allopathic Diagnosis
RA RESOLVED,sec011_var001_Allopathic Diagnosis
PRURITIS ANI,sec011_var001_Allopathic Diagnosis
ABD PAIN,sec011_var001_Allopathic Diagnosis
HTN DM,sec011_var001_Allopathic Diagnosis
PRURITIS PREPUSE.,sec011_var001_Allopathic Diagnosis
TRAUMATIC,sec011_var001_Allopathic Diagnosis
ISHEMIC CERVICAL MYELOPATHY.,sec011_var001_Allopathic Diagnosis
LATHERGY,sec011_var001_Allopathic Diagnosis
MENOPAUSAL SYNDROME,sec011_var001_Allopathic Diagnosis
ADVANCED -OA WITH BURSITIS,sec011_var001_Allopathic Diagnosis
POLYARTHRALGIA FOR EVALUATION,sec011_var001_Allopathic Diagnosis
MILD LUMBAR SPODYLOSIS WITH DEGENATIVE DISC DISEASES.,sec011_var001_Allopathic Diagnosis
LUMBARISATION OF S1 VERTIBRAL BODY .  L5-S1 DIFFUSE DISC BULGE INDENTING THE THECAL SAC,sec011_var001_Allopathic Diagnosis
ALSO CAUSING BILATERAL INFERIOR NEURAL FORAMINAL STENOSIS WITHOUT NERVE ROOT COMPRESSION.,sec011_var001_Allopathic Diagnosis
OA WITH OSTEOPOPROSIS.,sec011_var001_Allopathic Diagnosis
IVDP-L5,sec011_var001_Allopathic Diagnosis
S1,sec011_var001_Allopathic Diagnosis
BURSISTIS,sec011_var001_Allopathic Diagnosis
OA WITH BURSITIS(OSTEOPENIA),sec011_var001_Allopathic Diagnosis
MENIERE'S DISEASE,sec011_var001_Allopathic Diagnosis
SINUS SICK SYNDROME.,sec011_var001_Allopathic Diagnosis
LT RENAL CALCULI,sec011_var001_Allopathic Diagnosis
POST FEVER ARTHALGIA,sec011_var001_Allopathic Diagnosis
URETERIC  CALCULI,sec011_var001_Allopathic Diagnosis
AD,sec011_var001_Allopathic Diagnosis
(INTERTIGO),sec011_var001_Allopathic Diagnosis
CD WITH TENIA,sec011_var001_Allopathic Diagnosis
OA ADVANCED WITH RT KNEE JOINT BURSITIS CHRONIC,sec011_var001_Allopathic Diagnosis
OA(L>R,sec011_var001_Allopathic Diagnosis
TENNIS ELBOE.,sec011_var001_Allopathic Diagnosis
POST HERPETIC PAIN,sec011_var001_Allopathic Diagnosis
MILD BACK PAIN(NON SPECIFIC MYALGIA),sec011_var001_Allopathic Diagnosis
LISTHESIS,sec011_var001_Allopathic Diagnosis
STENOSIS,sec011_var001_Allopathic Diagnosis
SPONDLISTHESIS,sec011_var001_Allopathic Diagnosis
CANAL STENOSISL,sec011_var001_Allopathic Diagnosis
NON SPECIFIC PAIN R KNEE,sec011_var001_Allopathic Diagnosis
HEMIPARESIS.,sec011_var001_Allopathic Diagnosis
SUBTALER OSTEOARTHRITIS,sec011_var001_Allopathic Diagnosis
PCOD+OBESITY,sec011_var001_Allopathic Diagnosis
CHRONIC BURSITIS OF KNEE,sec011_var001_Allopathic Diagnosis
SOFT TISSUE INJURY OF BOTH KNEES( MEDIAL LATERAL,sec011_var001_Allopathic Diagnosis
CRUCIATE LIGAMENT ) 2),sec011_var001_Allopathic Diagnosis
TENIA CIRCE,sec011_var001_Allopathic Diagnosis
CRUCIATE LIGAMENT ),sec011_var001_Allopathic Diagnosis
2) TENIA CIRCE,sec011_var001_Allopathic Diagnosis
CHRONIC BURSITIS,sec011_var001_Allopathic Diagnosis
SOFT TISSUE INJURY OF BOTH KNEES,sec011_var001_Allopathic Diagnosis
TENIA CIRCE.,sec011_var001_Allopathic Diagnosis
STRAIN ON LIGAMENTS,sec011_var001_Allopathic Diagnosis
STRAIN ON LIGAMENT,sec011_var001_Allopathic Diagnosis
AD .,sec011_var001_Allopathic Diagnosis
TENOSINUVITIS -ADDUCTOR POLICIS BRAVIS,sec011_var001_Allopathic Diagnosis
KNEE BURSITIS,sec011_var001_Allopathic Diagnosis
BURSITIS - KNEE,sec011_var001_Allopathic Diagnosis
BURSITIS- KNEE RESOLVED,sec011_var001_Allopathic Diagnosis
ATOPIC DERMATITIS .,sec011_var001_Allopathic Diagnosis
POST VIRAL SKIN LESIONS,sec011_var001_Allopathic Diagnosis
CHICKEN POX- SUB CLINICAL,sec011_var001_Allopathic Diagnosis
POLY ARTHRITIS-POST REPLACEMENT,sec011_var001_Allopathic Diagnosis
OBESE WITH INSOMNIA,sec011_var001_Allopathic Diagnosis
OA WITH OSTEOPENIA.,sec011_var001_Allopathic Diagnosis
OA WITH OSTERPENIA,sec011_var001_Allopathic Diagnosis
GREYING OF HAIRS,sec011_var001_Allopathic Diagnosis
LOSS OF LIBIDO,sec011_var001_Allopathic Diagnosis
APD - ALCOHOL INDUCED,sec011_var001_Allopathic Diagnosis
CHEST DISCOMFORT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
MYOLOPATHY,sec011_var001_Allopathic Diagnosis
ANTE NATAL CARE,sec011_var001_Allopathic Diagnosis
R ANKLE- BURSITIS,sec011_var001_Allopathic Diagnosis
OA - KNEE BL,sec011_var001_Allopathic Diagnosis
INJURY TO L LITTLE FINGER,sec011_var001_Allopathic Diagnosis
ALD,sec011_var001_Allopathic Diagnosis
TRAUMATIC OA(R KNEE- DRIVING),sec011_var001_Allopathic Diagnosis
L INGUINAL HERNIA,sec011_var001_Allopathic Diagnosis
PLE,sec011_var001_Allopathic Diagnosis
MILD LUMBAR SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
LBA -IVDP,sec011_var001_Allopathic Diagnosis
BONE ACHE.,sec011_var001_Allopathic Diagnosis
C SPOD.,sec011_var001_Allopathic Diagnosis
HUNTINGTON'S DISEASE,sec011_var001_Allopathic Diagnosis
HUNTINGTONS DISEASE,sec011_var001_Allopathic Diagnosis
FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY,sec011_var001_Allopathic Diagnosis
NECROTIC VERICOSE VEINS,sec011_var001_Allopathic Diagnosis
NECROTIC VARICOSE VEINS,sec011_var001_Allopathic Diagnosis
PERIPHERAL NEUROPATHY-,sec011_var001_Allopathic Diagnosis
MANIERS DISEASE,sec011_var001_Allopathic Diagnosis
APD BILOOUS DISEASE,sec011_var001_Allopathic Diagnosis
SPONDYLITIS,sec011_var001_Allopathic Diagnosis
R-TENNIS ELBOW,sec011_var001_Allopathic Diagnosis
R-BAKERS CYST,sec011_var001_Allopathic Diagnosis
BAKERS CYST.,sec011_var001_Allopathic Diagnosis
TENNIS ELBOW- RESOLVED,sec011_var001_Allopathic Diagnosis
HYPERPIGMENTATION FOR EVALUATION,sec011_var001_Allopathic Diagnosis
POLYNEUROPATHY,sec011_var001_Allopathic Diagnosis
INJURY TO MENISCI WITH OA,sec011_var001_Allopathic Diagnosis
PAIN - LOWER LIMB-NON SPECIFIC,sec011_var001_Allopathic Diagnosis
DM WITH R CALCULI,sec011_var001_Allopathic Diagnosis
OA WITH VERICOSE VEINS,sec011_var001_Allopathic Diagnosis
OA WITH VARICOSE VEINS,sec011_var001_Allopathic Diagnosis
IVDP L5 - S1,sec011_var001_Allopathic Diagnosis
RA- RESOLVED,sec011_var001_Allopathic Diagnosis
RA-RESOLVED,sec011_var001_Allopathic Diagnosis
RESOLVED,sec011_var001_Allopathic Diagnosis
SINUSUITIS,sec011_var001_Allopathic Diagnosis
OD WITH OSTEOPOROSIS.,sec011_var001_Allopathic Diagnosis
PARKINSONS SYNDROME ( MSA ),sec011_var001_Allopathic Diagnosis
PDP-MSA,sec011_var001_Allopathic Diagnosis
RECTAL PROLAPSE,sec011_var001_Allopathic Diagnosis
POST APPENDY,sec011_var001_Allopathic Diagnosis
HERNIORRAPHY STATUS WITH DM,sec011_var001_Allopathic Diagnosis
HTN WITH C,sec011_var001_Allopathic Diagnosis
WITH CONSTIPATION,sec011_var001_Allopathic Diagnosis
OA R>L,sec011_var001_Allopathic Diagnosis
KYPHOSCOLIOSIS,sec011_var001_Allopathic Diagnosis
NON SPECIFIC SHOULDER PAIN,sec011_var001_Allopathic Diagnosis
DM- NEUROPATHY,sec011_var001_Allopathic Diagnosis
NEPHROPATHY- WITH MICROALBUMINARIA +IVE,sec011_var001_Allopathic Diagnosis
PD PLUS,sec011_var001_Allopathic Diagnosis
OA WITH BAKER'S CYST,sec011_var001_Allopathic Diagnosis
FROZEN SHOULDER RESOLVED,sec011_var001_Allopathic Diagnosis
BREAST SWELLIN,sec011_var001_Allopathic Diagnosis
SLEEP APNEA,sec011_var001_Allopathic Diagnosis
LBA- SCIATICA,sec011_var001_Allopathic Diagnosis
JOINTS  PAIN,sec011_var001_Allopathic Diagnosis
VASCULAR NEUROPATHY,sec011_var001_Allopathic Diagnosis
PERIPHERAL NEUROPATHY (DEMYELINATING),sec011_var001_Allopathic Diagnosis
HYPER CHOLESTEREAMIA,sec011_var001_Allopathic Diagnosis
RADICULOPATHY- LUMBAR,sec011_var001_Allopathic Diagnosis
RADICULOPATHY - LUMBAR,sec011_var001_Allopathic Diagnosis
PREMATURE OVARIAN FAILURE,sec011_var001_Allopathic Diagnosis
OA - BAKERS CYST RT KNEE,sec011_var001_Allopathic Diagnosis
OBESITY WITH ANEMIA,sec011_var001_Allopathic Diagnosis
HYPOTHYROIDSM,sec011_var001_Allopathic Diagnosis
OA KNEE BL,sec011_var001_Allopathic Diagnosis
SCHEUERMANN'S DISEASE,sec011_var001_Allopathic Diagnosis
SHOERMEN'S DISEASE.,sec011_var001_Allopathic Diagnosis
OA WITH BURSISTIS L>R,sec011_var001_Allopathic Diagnosis
STRAIN ON ANTOMICLA SNUFF BOX.,sec011_var001_Allopathic Diagnosis
SERONEGETIVE RA,sec011_var001_Allopathic Diagnosis
REACTIVE ARTHRITIS /OA,sec011_var001_Allopathic Diagnosis
TRAUMATIC BRAIN INJURY,sec011_var001_Allopathic Diagnosis
SHIN SPLINTS,sec011_var001_Allopathic Diagnosis
BONY TENDERNESS,sec011_var001_Allopathic Diagnosis
OSTEOMEYLITIS,sec011_var001_Allopathic Diagnosis
-TIBIA,sec011_var001_Allopathic Diagnosis
SHIN SPLINT -RESOLVED,sec011_var001_Allopathic Diagnosis
SPLINT SHIN,sec011_var001_Allopathic Diagnosis
SHIN SPLINTS - RESOLVED,sec011_var001_Allopathic Diagnosis
SHIN SPLIT SYNDROME RESOLVED,sec011_var001_Allopathic Diagnosis
OA WITH BURSITISR>L,sec011_var001_Allopathic Diagnosis
OA WITH STRAIN LAT COL LIG,sec011_var001_Allopathic Diagnosis
URTI-PHARYNGOLARYNGITIS,sec011_var001_Allopathic Diagnosis
PHARINGOLARYNGITIS,sec011_var001_Allopathic Diagnosis
TRAPIZIUS SPASM,sec011_var001_Allopathic Diagnosis
G ARTHRITS.,sec011_var001_Allopathic Diagnosis
PAIN IN THE SPINE FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SCHEUERMANN'SDISEASE,sec011_var001_Allopathic Diagnosis
SHUERMANN'S DISEASE,sec011_var001_Allopathic Diagnosis
SHUERMAN'S DISEASE,sec011_var001_Allopathic Diagnosis
OA WITH,sec011_var001_Allopathic Diagnosis
DM WITH BURNING FEET,sec011_var001_Allopathic Diagnosis
PERINEUM.,sec011_var001_Allopathic Diagnosis
DIFFUSE AXONAL INJURY,sec011_var001_Allopathic Diagnosis
ECZEEMA (CD) WITH LICHENIFICATION  DORSUM OF FEET -BOTH SIDE. C SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
ECZEMA (CD) WITH LICHENIFICATIOIN DORSUM OF FEET BOTH SIDE,sec011_var001_Allopathic Diagnosis
ACD,sec011_var001_Allopathic Diagnosis
HYPERCHOLESTRAMIA,sec011_var001_Allopathic Diagnosis
LBA-IVDP,sec011_var001_Allopathic Diagnosis
CEREBELLAR LESION-LATERAL SECONDARY TO CVA,sec011_var001_Allopathic Diagnosis
ATAXIA- CEREBELLAR ATROPHY,sec011_var001_Allopathic Diagnosis
SUPRASPINATUS TENDON INJURY OF RIGHT SHOULDER,sec011_var001_Allopathic Diagnosis
OA WITH BURSITIS++,sec011_var001_Allopathic Diagnosis
PEDAL EDEMA,sec011_var001_Allopathic Diagnosis
DIABETIC NEUROPATHY+,sec011_var001_Allopathic Diagnosis
SENSORY ATAXIA+,sec011_var001_Allopathic Diagnosis
P NEUROPATHY,sec011_var001_Allopathic Diagnosis
COLD,sec011_var001_Allopathic Diagnosis
GENERAL WEAKNESS (PAIN IN THE LEFT ANKLE JOINT),sec011_var001_Allopathic Diagnosis
EDEMA-PEDAL,sec011_var001_Allopathic Diagnosis
CA ENDOMETRIOSIS,sec011_var001_Allopathic Diagnosis
HYPERCHOLESTREAMIA,sec011_var001_Allopathic Diagnosis
LUECODERMA,sec011_var001_Allopathic Diagnosis
PERIPHERAL NEUROPATHY (DIABETIC) .,sec011_var001_Allopathic Diagnosis
PARKINSON SYNDROME,sec011_var001_Allopathic Diagnosis
LIPOMATOSIS,sec011_var001_Allopathic Diagnosis
OA- FROZEN SHOULDER,sec011_var001_Allopathic Diagnosis
TRAPEZIUZ STRAIN,sec011_var001_Allopathic Diagnosis
BAKERS CYST,sec011_var001_Allopathic Diagnosis
STARIN ON VASTUS LATERALIS,sec011_var001_Allopathic Diagnosis
TIBIALIS ANTERIOR,sec011_var001_Allopathic Diagnosis
OA BAKERS CYST,sec011_var001_Allopathic Diagnosis
STRAIN ON VASTUS LATERALIS,sec011_var001_Allopathic Diagnosis
L SPONDYLITIS L5S1 AREA,sec011_var001_Allopathic Diagnosis
ASCHILIS BURSITIS,sec011_var001_Allopathic Diagnosis
SPONDYLITIS L5-S1,sec011_var001_Allopathic Diagnosis
RA ( POLYMYALGIA RHUEMATICA ),sec011_var001_Allopathic Diagnosis
SERO + RA,sec011_var001_Allopathic Diagnosis
SENSORY MOTOR NEUROPATHY SECONDARY TO DM,sec011_var001_Allopathic Diagnosis
ANEURYSMAL BONE CYST,sec011_var001_Allopathic Diagnosis
CERVICAL POST LAMINECTOMY STATUS.,sec011_var001_Allopathic Diagnosis
OA WITH GENU VULGUS,sec011_var001_Allopathic Diagnosis
C. SPONDYLITIS.,sec011_var001_Allopathic Diagnosis
CERVICAL SPONYLITIS,sec011_var001_Allopathic Diagnosis
RTA  WITH POST TRAUMATIC HIP SHORTENING,sec011_var001_Allopathic Diagnosis
UNHEALED FRACTURE OF CLAVICLE,sec011_var001_Allopathic Diagnosis
RTA WITH POST TRAUMATIC HIP,sec011_var001_Allopathic Diagnosis
SHORTENING,sec011_var001_Allopathic Diagnosis
POST TRAUMA MUSCLE PAIN,sec011_var001_Allopathic Diagnosis
PIRIFORMIS SYNDROME,sec011_var001_Allopathic Diagnosis
L SPONDYLITS,sec011_var001_Allopathic Diagnosis
AUTO IMMUNE,sec011_var001_Allopathic Diagnosis
CONVULSIVE DISORDER - IDIOPATHIC,sec011_var001_Allopathic Diagnosis
DISC HERNIATION AT L4-L5,sec011_var001_Allopathic Diagnosis
DISC HERNIATION  L4-L5,sec011_var001_Allopathic Diagnosis
SPASTIC PARAPARESIS,sec011_var001_Allopathic Diagnosis
LUMBAR SPONDYLOSIS .,sec011_var001_Allopathic Diagnosis
OA WITH OSTEOPEANIA,sec011_var001_Allopathic Diagnosis
OSTEOARTRITIS,sec011_var001_Allopathic Diagnosis
OA - ADVANCED WITH PES PLANUS,sec011_var001_Allopathic Diagnosis
DM T2 WITH HYPERCHOLESTEREMIA,sec011_var001_Allopathic Diagnosis
MUSCULAR ATROPHY,sec011_var001_Allopathic Diagnosis
SPINOMUSCULAR ATROPHY,sec011_var001_Allopathic Diagnosis
LUMAR RADICULOPATHY,sec011_var001_Allopathic Diagnosis
DISC DEGENERATION,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDILITIES,sec011_var001_Allopathic Diagnosis
ACIDITY,sec011_var001_Allopathic Diagnosis
EXERSIONAL DYSPNOEA.,sec011_var001_Allopathic Diagnosis
ATHEROSCEROSIS (SENILE),sec011_var001_Allopathic Diagnosis
TEMPRO EPILEPSY,sec011_var001_Allopathic Diagnosis
WITH DEJAVU SYMP ON MED,sec011_var001_Allopathic Diagnosis
IVDP - L4-L5,sec011_var001_Allopathic Diagnosis
ON RECOVERY,sec011_var001_Allopathic Diagnosis
CATCHEXIA & DM & LBA,sec011_var001_Allopathic Diagnosis
CATCHEXIA,sec011_var001_Allopathic Diagnosis
VIRAL INFECTION OVER SKIN.,sec011_var001_Allopathic Diagnosis
PAIN IN THE HEEL,sec011_var001_Allopathic Diagnosis
MENOPAUSAL SYMPTOMS,sec011_var001_Allopathic Diagnosis
HYPOMENORRHOEA FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SACRO ILITIS,sec011_var001_Allopathic Diagnosis
SMALL ARTERY DISEASE OF BRAIN,sec011_var001_Allopathic Diagnosis
SMALL ARTERY DISEASE OF BRAIN(MRI-REPORT),sec011_var001_Allopathic Diagnosis
SPINO CEREBELLAR ATAXIA,sec011_var001_Allopathic Diagnosis
SPINOCEREBELLAR ATAXIA,sec011_var001_Allopathic Diagnosis
SPORADIC SPINO CEREBELLAR ATAXIA,sec011_var001_Allopathic Diagnosis
ESSENTIAL TREMOR,sec011_var001_Allopathic Diagnosis
OAS,sec011_var001_Allopathic Diagnosis
OA WITH BAKERS CYST,sec011_var001_Allopathic Diagnosis
MUSCULAR PAIN-,sec011_var001_Allopathic Diagnosis
ARD-BA,sec011_var001_Allopathic Diagnosis
ARD -BA,sec011_var001_Allopathic Diagnosis
RENAL FUNCTION IMPAIRMENT,sec011_var001_Allopathic Diagnosis
NON SPECIFIC MYALGIA WITH CERVICAL SPONDYLITIS,sec011_var001_Allopathic Diagnosis
SOFT TISSUE INJURY LEFT KNEE JOINT,sec011_var001_Allopathic Diagnosis
RIGHT EAR CHL,sec011_var001_Allopathic Diagnosis
LEFT EAR SNHL,sec011_var001_Allopathic Diagnosis
MIXED HEARING LOSS,sec011_var001_Allopathic Diagnosis
SECONDARY OBESITY,sec011_var001_Allopathic Diagnosis
OA OSTEOPENIA,sec011_var001_Allopathic Diagnosis
